Model,Accuracy,F1 Score
Ensemble 4 (Bagging),0.7815126050420168,0.7819631344480659
Ensemble 1 (RF+XGB+SVM),0.7759103641456583,0.7785147735436097
Ensemble 3 (Stacking),0.773109243697479,0.7757840944554544
Ensemble 2 (RF+XGB+NN),0.7675070028011205,0.7699509529398768
Ensemble 5 (RF+XGB+SVM+NN),0.7675070028011205,0.7695402493215394
Ensemble 6 (AdaBoost+GB+ExtraTrees),0.7535014005602241,0.7544868555198283
Ensemble 7 (Blending+MetaLearning),0.742296918767507,0.7436048802778161
