Model,Accuracy,F1 Score
Ensemble 2 (RF+XGB+NN),0.927170868347339,0.9275223535145181
Ensemble 5 (RF+XGB+SVM+NN),0.927170868347339,0.9274145209394682
Ensemble 3 (Stacking),0.9243697478991597,0.9253948099738537
Ensemble 7 (Blending+MetaLearning),0.9215686274509803,0.9219444409773839
Ensemble 6 (AdaBoost+GB+ExtraTrees),0.9187675070028011,0.9198567550824885
Ensemble 1 (RF+XGB+SVM),0.9159663865546218,0.9170556346343093
Ensemble 4 (Bagging),0.907563025210084,0.9081987835452625
